Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-03-22,Vice,2018,https://boxd.it/FCiw5,5,,,2019-03-20
2019-03-24,Se7en,1995,https://boxd.it/FInIn,5,,nice plot,2019-03-23
2019-03-24,The Green Mile,1999,https://boxd.it/FJboH,5,,,2019-03-24
2020-10-20,Click,2006,https://boxd.it/1pFkDH,,,,2020-10-19
2020-10-20,Parasite,2019,https://boxd.it/1pFl57,5,,,2020-10-19
2020-10-20,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1pFl8P,5,,,2020-10-19
2020-10-20,Central Station,1998,https://boxd.it/1pFlbJ,5,,,2020-10-19
2020-10-20,City of God,2002,https://boxd.it/1pFlet,5,,,2020-10-19
2020-10-20,Knives Out,2019,https://boxd.it/1pFlIj,5,,,2020-10-19
2020-10-20,Midsommar,2019,https://boxd.it/1pFlND,4,,,2020-10-19
2020-10-20,The Social Dilemma,2020,https://boxd.it/1pFlT7,5,,,2020-10-19
2020-10-20,Halloween,1978,https://boxd.it/1pFlVx,3,,,2020-10-19
2020-10-20,The Lighthouse,2019,https://boxd.it/1pFlYr,4,,,2020-10-19
2020-10-20,Get Out,2017,https://boxd.it/1pFmBX,5,,,2020-10-19
2020-10-20,12 Years a Slave,2013,https://boxd.it/1pFmE3,5,,,2020-10-19
2020-10-20,Sorry to Bother You,2018,https://boxd.it/1pFmOH,1,,,2020-10-19
2020-10-20,Black Panther,2018,https://boxd.it/1pFmW7,5,,,2020-10-19
2020-10-20,Alien,1979,https://boxd.it/1pFn4l,3,,,2020-10-19
2020-10-20,Psycho,1960,https://boxd.it/1pFn9Z,4,,,2020-10-19
2020-10-20,What Ever Happened to Baby Jane?,1962,https://boxd.it/1pFndx,4,,,2020-10-19
2020-10-20,Jaws,1975,https://boxd.it/1pFneP,2,,,2020-10-19
2020-10-20,Black Swan,2010,https://boxd.it/1pFnh5,3,,,2020-10-19
2020-10-20,Shaun of the Dead,2004,https://boxd.it/1pFnk9,1,,,2020-10-19
2020-10-20,Jojo Rabbit,2019,https://boxd.it/1pFnAL,4,,,2020-10-19
2020-10-20,The Imitation Game,2014,https://boxd.it/1pFnDZ,3,,,2020-10-19
