Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-25,2021 Upcomings,,https://boxd.it/dNHXc,

Position,Name,Year,URL,Description
1,Eternals,2021,https://boxd.it/j36o,
2,The Power of the Dog,2021,https://boxd.it/m99E,
3,Spencer,2021,https://boxd.it/qPMG,
4,Last Night in Soho,2021,https://boxd.it/lbJC,
5,The French Dispatch,2021,https://boxd.it/jLP8,
6,House of Gucci,2021,https://boxd.it/nVkC,
7,Titane,2021,https://boxd.it/nlQC,
8,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
9,The Matrix Resurrections,2021,https://boxd.it/n87k,
10,Don't Look Up,2021,https://boxd.it/o0Hc,
11,West Side Story,2021,https://boxd.it/iwt0,
12,Mass,2021,https://boxd.it/eYAA,
13,I'm Your Man,2021,https://boxd.it/tWcG,
14,Red Rocket,2021,https://boxd.it/sGpi,
15,Licorice Pizza,2021,https://boxd.it/qTKY,
16,Flee,2021,https://boxd.it/ponM,
17,The Worst Person in the World,2021,https://boxd.it/oyws,
18,Being the Ricardos,2021,https://boxd.it/iJQc,
19,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
20,Belfast,2021,https://boxd.it/tefG,
21,Nightmare Alley,2021,https://boxd.it/m0HC,
22,King Richard,2021,https://boxd.it/mJZ2,
23,Parallel Mothers,2021,https://boxd.it/sOP4,
24,A Hero,2021,https://boxd.it/p2zw,
25,CODA,2021,https://boxd.it/tbf4,
