Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-24,"Depressive, Reflexive and...Romances",,https://boxd.it/dtTga,"A sad joyful list of movies that or will make you happy or will make you go into a existencial crisis and cry
Choose wisly"

Position,Name,Year,URL,Description
1,Two Lovers,2008,https://boxd.it/1Ws4,
2,Manchester by the Sea,2016,https://boxd.it/b2L0,
3,Blue Valentine,2010,https://boxd.it/MxG,
4,Room,2015,https://boxd.it/7T0y,
5,"I, Daniel Blake",2016,https://boxd.it/d0xa,
6,The Hunt,2012,https://boxd.it/3wEC,
7,Submarine,2010,https://boxd.it/H4a,
8,The Wrestler,2008,https://boxd.it/1So8,
9,5 Centimeters per Second,2007,https://boxd.it/16G4,
10,Once,2007,https://boxd.it/22GG,
11,Punch-Drunk Love,2002,https://boxd.it/20E4,
12,"Paris, Texas",1984,https://boxd.it/29Ts,
13,The Green Ray,1986,https://boxd.it/t8W,
14,Tokyo Story,1953,https://boxd.it/1HuY,
15,The Great Beauty,2013,https://boxd.it/5ty6,
16,Amour,2012,https://boxd.it/34Q6,
17,In the Mood for Love,2000,https://boxd.it/29tE,
18,Wild Strawberries,1957,https://boxd.it/29ZU,
19,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,
20,Chungking Express,1994,https://boxd.it/1UDa,
21,2046,2004,https://boxd.it/29tu,
22,Vivre Sa Vie,1962,https://boxd.it/28s6,
23,Phantom Thread,2017,https://boxd.it/e4uc,
24,8½,1963,https://boxd.it/2aqm,
25,Only Lovers Left Alive,2013,https://boxd.it/4O1U,
26,Before Sunrise,1995,https://boxd.it/2bcU,
27,Cléo from 5 to 7,1962,https://boxd.it/2agm,
28,Annette,2021,https://boxd.it/f0RS,
29,(500) Days of Summer,2009,https://boxd.it/1EmM,
30,The Shape of Water,2017,https://boxd.it/dZ5m,
31,The Virgin Suicides,1999,https://boxd.it/28JG,
32,Before Midnight,2013,https://boxd.it/4ive,
33,Before Sunset,2004,https://boxd.it/2bcg,
34,"Paris, Je T'Aime",2006,https://boxd.it/273a,
35,Anomalisa,2015,https://boxd.it/97TE,
36,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,
37,About Time,2013,https://boxd.it/43bI,
38,Her,2013,https://boxd.it/4O24,
39,Seeking a Friend for the End of the World,2012,https://boxd.it/376g,
40,Rebecca,1940,https://boxd.it/2aQa,
41,The Apartment,1960,https://boxd.it/2aGE,
42,Roman Holiday,1953,https://boxd.it/29zW,
43,Call Me by Your Name,2017,https://boxd.it/dYmm,
44,Happiest Season,2020,https://boxd.it/iS3I,
45,Mr. Nobody,2009,https://boxd.it/1k44,
46,The Scarlet Empress,1934,https://boxd.it/1iTO,
