Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-14,Filmes de Ficção Científica Nacionais,,https://boxd.it/dGJwe,Filmes de ficção científica brasileiros citados no livro ”o Guia Geek do Cinema” de Ryan Lambie.

Position,Name,Year,URL,Description
1,Nuclear Shelter,1981,https://boxd.it/6XeW,
2,Amor Voraz,1984,https://boxd.it/5Tec,
3,Areias Escaldantes,1985,https://boxd.it/6QUG,
4,Barbosa,1988,https://boxd.it/5MmS,
5,"White Out, Black In",2014,https://boxd.it/7Ac6,
6,Brazil Year 2000,1969,https://boxd.it/5S6G,
7,Cassiopeia,1996,https://boxd.it/40k8,
8,The Cosmonauts,1962,https://boxd.it/7r1y,
9,Rio 2096: A Story of Love and Fury,2013,https://boxd.it/5kIG,
10,Loop,2002,https://boxd.it/mKb8,
11,Grey Morning,1969,https://boxd.it/aumA,
12,Stop 88,1978,https://boxd.it/bWD2,
13,Who Is Beta?,1972,https://boxd.it/4KhO,
14,The Fifth Power,1962,https://boxd.it/7iG8,
15,Sangue de tatu,1986,https://boxd.it/sbWU,
