Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-10-21,Loucura Loucura Loucura,,https://boxd.it/91lOg,Filmes que me deixaram atordoado/perplexo seja com o final ou com as reviravoltas dentro dele.

Position,Name,Year,URL,Description
1,Gone Girl,2014,https://boxd.it/6hQu,
2,Oldboy,2003,https://boxd.it/29R2,
3,Orphan,2009,https://boxd.it/1CgM,
4,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO,
5,The Babysitter,2017,https://boxd.it/eP1w,
6,Logan,2017,https://boxd.it/7Piy,
7,Parasite,2019,https://boxd.it/hTha,
8,A Fall from Grace,2020,https://boxd.it/oc5Y,
9,Knives Out,2019,https://boxd.it/jWEA,
10,Vivarium,2019,https://boxd.it/gmVE,
11,Midsommar,2019,https://boxd.it/jhxe,
12,Get Out,2017,https://boxd.it/eOCm,
13,Fight Club,1999,https://boxd.it/2a9q,
14,The Silence of the Lambs,1991,https://boxd.it/2aHW,
15,The Lighthouse,2019,https://boxd.it/icFU,
16,Shutter Island,2010,https://boxd.it/1U82,
17,mother!,2017,https://boxd.it/dgRU,
18,Nocturnal Animals,2016,https://boxd.it/bkFu,
19,Incendies,2010,https://boxd.it/Msm,
20,The Student of Prague,1913,https://boxd.it/1paQ,
21,Rosemary's Baby,1968,https://boxd.it/29zM,
22,The Witch,2015,https://boxd.it/9X0m,
23,Fear Street: 1978,2021,https://boxd.it/lLBu,
24,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
25,Witness for the Prosecution,1957,https://boxd.it/18H4,
