Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-10-21,Minhas Comédias Favoritas,"cheer up, laugh, smile",https://boxd.it/91mkQ,

Position,Name,Year,URL,Description
1,Tropic Thunder,2008,https://boxd.it/20WM,
2,Surf's Up,2007,https://boxd.it/1YKY,
3,Booksmart,2019,https://boxd.it/igNS,
4,21 Jump Street,2012,https://boxd.it/J0,
5,Dirty Grandpa,2016,https://boxd.it/99pG,
6,Neighbors,2014,https://boxd.it/5Txe,
7,Project X,2012,https://boxd.it/neO,
8,Easy A,2010,https://boxd.it/17DK,
9,Grown Ups,2010,https://boxd.it/169a,
10,The Honest Candidate,2014,https://boxd.it/7tIu,
11,Bad Teacher,2011,https://boxd.it/yXA,
12,The Dictator,2012,https://boxd.it/2DEW,
13,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,
14,A Dog's Will,2000,https://boxd.it/12u4,
15,The Room,2003,https://boxd.it/1ICY,
16,The Disaster Artist,2017,https://boxd.it/cTqc,
17,The Nice Guys,2016,https://boxd.it/94Hg,
18,Até a China,2015,https://boxd.it/cwuA,
19,The General,1926,https://boxd.it/29co,
20,Life of Brian,1979,https://boxd.it/2a4q,
21,The Pink Panther,2006,https://boxd.it/1Sys,
22,Pain & Gain,2013,https://boxd.it/4lp4,
23,The 40 Year Old Virgin,2005,https://boxd.it/21hK,
24,Swiss Army Man,2016,https://boxd.it/bDG2,
25,Killer Klowns from Outer Space,1988,https://boxd.it/1Kpi,
