Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-27,Movies for the Christmas,,https://boxd.it/dvKHU,

Position,Name,Year,URL,Description
1,Stalag 17,1953,https://boxd.it/29Xa,
2,Gremlins,1984,https://boxd.it/29gg,
3,Die Hard,1988,https://boxd.it/2a7u,
4,Miracle on 34th Street,1947,https://boxd.it/1SRu,
5,Red Nose Day Actually,2017,https://boxd.it/fV2M,
6,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,
7,Tangerine,2015,https://boxd.it/9QRe,
8,Black Christmas,1974,https://boxd.it/1Js6,
9,Christmas Holiday,1944,https://boxd.it/1tHE,
10,White Christmas,1954,https://boxd.it/1Qky,
11,Wings of Desire,1987,https://boxd.it/2b26,
12,The Shop Around the Corner,1940,https://boxd.it/1DFy,
13,Jingle All the Way,1996,https://boxd.it/1Z58,
14,Krampus,2015,https://boxd.it/8Wy6,
15,Edward Scissorhands,1990,https://boxd.it/2aZc,
16,Little Women,2019,https://boxd.it/aSVk,
17,Silent Night,2021,https://boxd.it/oJXE,
