Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-24,Must Rewatch,,https://boxd.it/du85m,

Position,Name,Year,URL,Description
1,Chinatown,1974,https://boxd.it/29vU,
2,V for Vendetta,2005,https://boxd.it/29Ik,
3,Apocalypse Now,1979,https://boxd.it/6ZS,
4,Hereditary,2018,https://boxd.it/hNVe,
5,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
6,12 Angry Men,1957,https://boxd.it/2auI,
7,Boogie Nights,1997,https://boxd.it/23um,
8,To Kill a Mockingbird,1962,https://boxd.it/2a2E,
9,No Country for Old Men,2007,https://boxd.it/21ew,
10,Vertigo,1958,https://boxd.it/2apI,
11,Shadow of a Doubt,1943,https://boxd.it/1BtA,
12,Zodiac,2007,https://boxd.it/27MO,
13,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
14,Fantasia,1940,https://boxd.it/29HG,
