Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-06,Must see,,https://boxd.it/dC24e,A compreensive list of films that i must watch and are a long time in my watchlist

Position,Name,Year,URL,Description
1,The Godfather: Part II,1974,https://boxd.it/2aNq,
2,The Godfather: Part III,1990,https://boxd.it/2aN6,
3,Carandiru,2003,https://boxd.it/209g,
4,The Last Emperor,1987,https://boxd.it/29Ji,
5,Pan's Labyrinth,2006,https://boxd.it/28No,
6,Gone with the Wind,1939,https://boxd.it/29Fq,
7,Amour,2012,https://boxd.it/34Q6,
8,Django,1966,https://boxd.it/1Vr0,
9,For a Few Dollars More,1965,https://boxd.it/29eu,
10,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
11,Rocky,1976,https://boxd.it/28Uk,
12,Pretty Woman,1990,https://boxd.it/2b6M,
13,Pacific Rim,2013,https://boxd.it/2cB2,
14,Twelve Monkeys,1995,https://boxd.it/2beQ,
