Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-04-17,My 10 favorites Sci-Fi Movies,,https://boxd.it/bPsb4,

Position,Name,Year,URL,Description
1,Contact,1997,https://boxd.it/29OM,
2,The Martian,2015,https://boxd.it/8SeG,
3,Alien,1979,https://boxd.it/2awY,
4,Ex Machina,2015,https://boxd.it/7T2k,
5,Alita: Battle Angel,2019,https://boxd.it/e0rS,
6,Bicentennial Man,1999,https://boxd.it/2722,
7,The Terminator,1984,https://boxd.it/2aQY,
8,Arrival,2016,https://boxd.it/aNGk,
9,Jurassic Park,1993,https://boxd.it/2aA2,
10,Planet of the Apes,1968,https://boxd.it/29p8,
