Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-08-28,My favorites movies of all time,,https://boxd.it/dcKRW,"Em ordem de preferência, obviamente"

Position,Name,Year,URL,Description
1,Inglourious Basterds,2009,https://boxd.it/1JzG,
2,Django Unchained,2012,https://boxd.it/2cCk,
3,Get Out,2017,https://boxd.it/eOCm,
4,Gone Girl,2014,https://boxd.it/6hQu,
5,The Witch,2015,https://boxd.it/9X0m,
6,Logan,2017,https://boxd.it/7Piy,
7,Rosemary's Baby,1968,https://boxd.it/29zM,
8,The Hateful Eight,2015,https://boxd.it/8gw8,
9,Schindler's List,1993,https://boxd.it/2aq2,
10,The Father,2020,https://boxd.it/m8Ie,
11,Oldboy,2003,https://boxd.it/29R2,
12,Tropic Thunder,2008,https://boxd.it/20WM,
13,The Silence of the Lambs,1991,https://boxd.it/2aHW,
14,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
15,Fight Club,1999,https://boxd.it/2a9q,
16,Klaus,2019,https://boxd.it/ipoi,
17,Up,2009,https://boxd.it/1OEc,
18,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO,
19,Orphan,2009,https://boxd.it/1CgM,
20,Knives Out,2019,https://boxd.it/jWEA,
21,The Lighthouse,2019,https://boxd.it/icFU,
22,mother!,2017,https://boxd.it/dgRU,
23,Nocturnal Animals,2016,https://boxd.it/bkFu,
24,Incendies,2010,https://boxd.it/Msm,
25,Shutter Island,2010,https://boxd.it/1U82,
26,Psycho,1960,https://boxd.it/2ab2,
27,The Nice Guys,2016,https://boxd.it/94Hg,
28,The Disaster Artist,2017,https://boxd.it/cTqc,
29,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,
30,Booksmart,2019,https://boxd.it/igNS,
31,Easy A,2010,https://boxd.it/17DK,
32,Dirty Grandpa,2016,https://boxd.it/99pG,
33,It's a Wonderful Life,1946,https://boxd.it/28xA,
34,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
35,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
36,Interstellar,2014,https://boxd.it/4VZ8,
37,Arrival,2016,https://boxd.it/aNGk,
38,Return of the Jedi,1983,https://boxd.it/27Vm,
39,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
40,Avengers: Endgame,2019,https://boxd.it/9vE4,
41,Planet of the Apes,1968,https://boxd.it/29p8,
42,Black Panther,2018,https://boxd.it/8MHs,
43,Alita: Battle Angel,2019,https://boxd.it/e0rS,
44,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,
45,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,
46,Watchmen,2009,https://boxd.it/1QE4,
47,Mr. Nobody,2009,https://boxd.it/1k44,
48,Black Swan,2010,https://boxd.it/Sw0,
49,Saint Maud,2019,https://boxd.it/l8QA,
50,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
51,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
52,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
53,Sunset Boulevard,1950,https://boxd.it/2a20,
54,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
55,Roman Holiday,1953,https://boxd.it/29zW,
56,The Ten Commandments,1956,https://boxd.it/21mg,
57,Boogie Nights,1997,https://boxd.it/23um,
58,American History X,1998,https://boxd.it/2bdo,
59,Catch Me If You Can,2002,https://boxd.it/29VS,
60,Spider-Man,2002,https://boxd.it/2a8i,
61,They Don't Wear Black Tie,1981,https://boxd.it/66nQ,
62,Life of Brian,1979,https://boxd.it/2a4q,
63,Once Upon a Time in America,1984,https://boxd.it/2aCs,
64,Call Me by Your Name,2017,https://boxd.it/dYmm,
65,City of God,2002,https://boxd.it/2a2a,
66,Central Station,1998,https://boxd.it/29RG,
67,Blade Runner 2049,2017,https://boxd.it/b8wK,
68,[REC],2007,https://boxd.it/20ma,
69,Into the Wild,2007,https://boxd.it/22m2,
70,12 Years a Slave,2013,https://boxd.it/2D2e,
71,Rush,2013,https://boxd.it/3lyS,
72,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
73,Ex Machina,2015,https://boxd.it/7T2k,
74,The Shack,2017,https://boxd.it/bAKK,
75,Instant Family,2018,https://boxd.it/hHpQ,
76,BlacKkKlansman,2018,https://boxd.it/hxL8,
77,The Vast of Night,2019,https://boxd.it/kJyc,
78,The King,2019,https://boxd.it/ieZs,
79,What Happened to Monday,2017,https://boxd.it/ejUu,
80,The Suicide Squad,2021,https://boxd.it/fw6O,
81,Ford v Ferrari,2019,https://boxd.it/ce74,
82,Persona,1966,https://boxd.it/29B4,
83,Life Is Beautiful,1997,https://boxd.it/29Wm,
84,Bicentennial Man,1999,https://boxd.it/2722,
85,Surf's Up,2007,https://boxd.it/1YKY,
86,There Will Be Blood,2007,https://boxd.it/20Z2,
87,American Beauty,1999,https://boxd.it/71Y,
88,Monster House,2006,https://boxd.it/1Z2e,
89,Meet the Robinsons,2007,https://boxd.it/28Ym,
90,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,
91,Happiest Season,2020,https://boxd.it/iS3I,
92,Happy Death Day,2017,https://boxd.it/fDz4,
93,The Florida Project,2017,https://boxd.it/dMG0,
94,The Babysitter,2017,https://boxd.it/eP1w,
95,Seeking a Friend for the End of the World,2012,https://boxd.it/376g,
96,Joker,2019,https://boxd.it/h4cS,
97,The Apartment,1960,https://boxd.it/2aGE,
98,"Rio, Zona Norte",1957,https://boxd.it/4F96,
99,The Lion King,1994,https://boxd.it/201Q,
100,Parasite,2019,https://boxd.it/hTha,
