Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-04-17,Por Onde Andei,,https://boxd.it/bPpqq,"Filmes que me emergiram de forma que me fizeram viver momentaneamente naquela época ou no local onde foi filmado.
OBS : Peguei os filmes apenas que vi mais recentemente pra compor a lista"

Position,Name,Year,URL,Description
1,To Catch a Thief,1955,https://boxd.it/2avm,
2,Boogie Nights,1997,https://boxd.it/23um,
3,The Revenant,2015,https://boxd.it/8H5e,
4,Brokeback Mountain,2005,https://boxd.it/2b2q,
5,Incendies,2010,https://boxd.it/Msm,
6,Call Me by Your Name,2017,https://boxd.it/dYmm,
7,The Nice Guys,2016,https://boxd.it/94Hg,
8,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
9,Ford v Ferrari,2019,https://boxd.it/ce74,
10,The Florida Project,2017,https://boxd.it/dMG0,
11,Roman Holiday,1953,https://boxd.it/29zW,
12,Jurassic Park,1993,https://boxd.it/2aA2,
13,The Ten Commandments,1956,https://boxd.it/21mg,
14,Into the Wild,2007,https://boxd.it/22m2,
15,Luca,2021,https://boxd.it/ipjC,
16,There Will Be Blood,2007,https://boxd.it/20Z2,
17,Planet of the Apes,1968,https://boxd.it/29p8,
18,Contact,1997,https://boxd.it/29OM,
19,A Quiet Place,2018,https://boxd.it/fVJQ,
20,Once Upon a Time in America,1984,https://boxd.it/2aCs,
