Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-11-27,😭😭😭😭😭,,https://boxd.it/aenNk,

Position,Name,Year,URL,Description
1,The Father,2020,https://boxd.it/m8Ie,
2,Up,2009,https://boxd.it/1OEc,
3,Coco,2017,https://boxd.it/bYJQ,
4,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a,
5,Klaus,2019,https://boxd.it/ipoi,
6,Bridge to Terabithia,2007,https://boxd.it/28YG,
7,Terminator Genisys,2015,https://boxd.it/35s0,
8,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,
9,Barnyard,2006,https://boxd.it/1XyC,
10,Schindler's List,1993,https://boxd.it/2aq2,
11,Forever Chape,2018,https://boxd.it/jGi4,
12,If Anything Happens I Love You,2020,https://boxd.it/qIv4,
13,It's a Wonderful Life,1946,https://boxd.it/28xA,
14,Instant Family,2018,https://boxd.it/hHpQ,
15,Soul,2020,https://boxd.it/ioLA,
16,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,
