Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-18,Setember,,https://boxd.it/dqjtm,

Position,Name,Year,URL,Description
1,The Godfather: Part II,1974,https://boxd.it/2aNq,
2,Rocky,1976,https://boxd.it/28Uk,
3,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
4,For a Few Dollars More,1965,https://boxd.it/29eu,
5,Touch of Evil,1958,https://boxd.it/28II,
6,The Man Who Knew Too Much,1956,https://boxd.it/2a5S,
7,His Girl Friday,1940,https://boxd.it/25M8,
8,The Philadelphia Story,1940,https://boxd.it/29a8,
9,M,1931,https://boxd.it/29vq,
10,Gone with the Wind,1939,https://boxd.it/29Fq,
11,Metropolis,1927,https://boxd.it/71a,
