Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-23,Spooky Month 2021 🎃,,https://boxd.it/dthae,All the horror movies that i watch in October 2021 ranked

Position,Name,Year,URL,Description
1,The Exorcist,1973,https://boxd.it/1Yoo,
2,Train to Busan,2016,https://boxd.it/dSQU,
3,The Evil Dead,1981,https://boxd.it/29Go,
4,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
5,Scream,1996,https://boxd.it/24EC,
6,Poltergeist,1982,https://boxd.it/2a0o,
7,Bram Stoker's Dracula,1992,https://boxd.it/223a,
8,Killer Klowns from Outer Space,1988,https://boxd.it/1Kpi,
9,The Descent,2005,https://boxd.it/1YNy,
10,Suspiria,1977,https://boxd.it/1SNW,
11,The Blair Witch Project,1999,https://boxd.it/26ua,
12,The Wicker Man,1973,https://boxd.it/1KnG,
13,Dark Shadows,2012,https://boxd.it/bQ2,
14,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,
15,From Dusk Till Dawn,1996,https://boxd.it/29HQ,
16,Carrie,1976,https://boxd.it/20ZQ,
17,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
18,Child's Play,1988,https://boxd.it/1VTo,
19,Ring,1998,https://boxd.it/26tw,
20,Ju-on: The Grudge,2002,https://boxd.it/1SY6,
