Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-11,The Ultimate Noir Watchlist,,https://boxd.it/dELrw,"Filmes noir/neo noir citados nos livros 'A História do Cinema para quem tem pressa' de Celso Sabadin e 'História do Cinema Mundial' de Franthiesco Ballereni. 
Coloquei alguns que conheço e não foram citados nos livros.
Aceito recomendações :)"

Position,Name,Year,URL,Description
1,The Crime of Monsieur Lange,1936,https://boxd.it/yo6,
2,You Only Live Once,1937,https://boxd.it/ycO,
3,Citizen Kane,1941,https://boxd.it/71O,
4,Phantom Lady,1944,https://boxd.it/1720,
5,Christmas Holiday,1944,https://boxd.it/1tHE,
6,Cobra Woman,1944,https://boxd.it/15rC,
7,The Suspect,1944,https://boxd.it/1vSk,
8,Ministry of Fear,1944,https://boxd.it/1BSU,
9,The Woman in the Window,1944,https://boxd.it/1J8U,
10,Laura,1944,https://boxd.it/27Oq,
11,Fallen Angel,1945,https://boxd.it/1ugY,
12,Double Indemnity,1944,https://boxd.it/297I,
13,The Lost Weekend,1945,https://boxd.it/1pgE,
14,Ace in the Hole,1951,https://boxd.it/1vXk,
15,Sunset Boulevard,1950,https://boxd.it/2a20,
16,The Maltese Falcon,1941,https://boxd.it/29c4,
17,Stranger on the Third Floor,1940,https://boxd.it/1nom,
18,This Gun for Hire,1942,https://boxd.it/1JL8,
19,Shadow of a Doubt,1943,https://boxd.it/1BtA,
20,"Murder, My Sweet",1944,https://boxd.it/283U,
21,Detour,1945,https://boxd.it/1DB2,
22,Mildred Pierce,1945,https://boxd.it/25uS,
23,The Big Sleep,1946,https://boxd.it/29iQ,
24,Gilda,1946,https://boxd.it/251G,
25,The Lady from Shanghai,1947,https://boxd.it/251Q,
26,Kiss of Death,1947,https://boxd.it/1BSq,
27,Boomerang!,1947,https://boxd.it/1G2k,
28,Ride the Pink Horse,1947,https://boxd.it/1Ga4,
29,Out of the Past,1947,https://boxd.it/29PK,
30,The Naked City,1948,https://boxd.it/1DpU,
31,Key Largo,1948,https://boxd.it/1UQS,
32,Criss Cross,1949,https://boxd.it/1B2a,
33,Act of Violence,1948,https://boxd.it/1gv6,
34,The Third Man,1949,https://boxd.it/294E,
35,White Heat,1949,https://boxd.it/1Lw0,
36,Border Incident,1949,https://boxd.it/1eO6,
37,Panic in the Streets,1950,https://boxd.it/1hMi,
38,The Asphalt Jungle,1950,https://boxd.it/1Jrs,
39,Night and the City,1950,https://boxd.it/1FFg,
40,Strangers on a Train,1951,https://boxd.it/29tk,
41,Gun Crazy,1950,https://boxd.it/1Gw0,
42,Where the Sidewalk Ends,1950,https://boxd.it/1IYq,
43,All About Eve,1950,https://boxd.it/29LI,
44,The Enforcer,1951,https://boxd.it/1tk6,
45,On Dangerous Ground,1951,https://boxd.it/1jJg,
46,Clash by Night,1952,https://boxd.it/1ywm,
47,Pickup on South Street,1953,https://boxd.it/1uLM,
48,City That Never Sleeps,1953,https://boxd.it/1eEA,
49,The Hitch-Hiker,1953,https://boxd.it/ZjC,
50,The Big Heat,1953,https://boxd.it/1NNM,
51,Crime Wave,1953,https://boxd.it/1EOG,
52,Dial M for Murder,1954,https://boxd.it/2adW,
53,The Phenix City Story,1955,https://boxd.it/1bCQ,
54,Kiss Me Deadly,1955,https://boxd.it/1HHe,
55,Rififi,1955,https://boxd.it/29f8,
56,The Night of the Hunter,1955,https://boxd.it/25HW,
57,The Killing,1956,https://boxd.it/2aMi,
58,The Bad Seed,1956,https://boxd.it/XuI,
59,Nightfall,1956,https://boxd.it/1dv8,
60,Sweet Smell of Success,1957,https://boxd.it/29aW,
61,Elevator to the Gallows,1958,https://boxd.it/294u,
62,Touch of Evil,1958,https://boxd.it/28II,
63,Chinatown,1974,https://boxd.it/29vU,
64,Taxi Driver,1976,https://boxd.it/2b8y,
65,Blue Velvet,1986,https://boxd.it/29BI,
66,L.A. Confidential,1997,https://boxd.it/27oC,
67,Sin City,2005,https://boxd.it/2aVk,
68,Under the Silver Lake,2018,https://boxd.it/dSAs,
