Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-10-20,Docs,,https://boxd.it/90WFe,

Position,Name,Year,URL,Description
1,The Social Dilemma,2020,https://boxd.it/opQI,
2,Terra,2015,https://boxd.it/dRq2,
3,Capital in the Twenty-First Century,2019,https://boxd.it/mfK2,
4,Behind the Curve,2018,https://boxd.it/iTxY,
5,Boys State,2020,https://boxd.it/oiNW,
6,A Love Song for Latasha,2019,https://boxd.it/nojc,
7,Night and Fog,1956,https://boxd.it/29A6,
8,A Girl in the River: The Price of Forgiveness,2015,https://boxd.it/cNSu,
9,Denying Brazil,2000,https://boxd.it/bjSs,
