Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-27,Welcome to the horrorville,,https://boxd.it/dvQDY,Horror movies that i want to watch someday

Position,Name,Year,URL,Description
1,The Omen,1976,https://boxd.it/29By,
2,Raw,2016,https://boxd.it/dLd2,
3,Martyrs,2008,https://boxd.it/1Yqu,
4,Eyes Without a Face,1960,https://boxd.it/1j9i,
5,The Wailing,2016,https://boxd.it/9fLy,
6,Friday the 13th,1980,https://boxd.it/24fs,
7,Mandy,2018,https://boxd.it/gtti,
8,Pontypool,2008,https://boxd.it/1yBw,
9,The Cabin in the Woods,2011,https://boxd.it/1zOc,
10,Faust,1926,https://boxd.it/1Vxi,
11,28 Days Later,2002,https://boxd.it/2aXU,
12,The Testament of Dr. Mabuse,1933,https://boxd.it/1Sia,
13,Blood and Black Lace,1964,https://boxd.it/1qme,
14,The Vanishing,1988,https://boxd.it/1ZTW,
15,Army of Darkness,1992,https://boxd.it/29G4,
16,Videodrome,1983,https://boxd.it/29uC,
17,The Fly,1986,https://boxd.it/1YIe,
18,Mad Love,1935,https://boxd.it/1pTc,
19,Images,1972,https://boxd.it/1nsS,
20,The Furies,2019,https://boxd.it/jc18,
21,The Amityville Horror,1979,https://boxd.it/1TPk,
22,The Black Cat,1934,https://boxd.it/1yik,
23,At Midnight I'll Take Your Soul,1964,https://boxd.it/1kje,
24,In the Mouth of Madness,1994,https://boxd.it/26vi,
25,Creepshow,1982,https://boxd.it/1KqU,
26,Carrie,1976,https://boxd.it/20ZQ,
27,Child's Play,1988,https://boxd.it/1VTo,
28,Repulsion,1965,https://boxd.it/1TKu,
29,Let the Right One In,2008,https://boxd.it/1Qr0,
30,Nosferatu,1922,https://boxd.it/29TM,
31,Sleepaway Camp,1983,https://boxd.it/1PSY,
32,Onibaba,1964,https://boxd.it/252a,
33,Hard Labor,2011,https://boxd.it/3km2,
34,The Devil's Advocate,1997,https://boxd.it/286k,
35,I Know What You Did Last Summer,1997,https://boxd.it/2588,
36,Candyman,1992,https://boxd.it/1Ys6,
37,Hercules in the Haunted World,1961,https://boxd.it/1qlU,
38,The Love Witch,2016,https://boxd.it/cZie,
39,Drag Me to Hell,2009,https://boxd.it/1Jzw,
40,Prey,2022,https://boxd.it/sNBU,
41,Barbarian,2022,https://boxd.it/yohi,
42,Day of the Dead,1985,https://boxd.it/20dM,
43,Plan 9 from Outer Space,1957,https://boxd.it/1W50,
44,Dracula,1931,https://boxd.it/2b34,
45,The Invisible Man,1933,https://boxd.it/1VoK,
46,Bud Abbott and Lou Costello Meet Frankenstein,1948,https://boxd.it/25O4,
47,Son of Frankenstein,1939,https://boxd.it/25Nq,
48,The Conjuring,2013,https://boxd.it/4sr2,
49,The House That Jack Built,2018,https://boxd.it/dWO4,
50,Dead of Night,1945,https://boxd.it/1PQI,
51,I Walked with a Zombie,1943,https://boxd.it/1stm,
52,Diabolique,1955,https://boxd.it/29we,
53,Night of the Demon,1957,https://boxd.it/1woA,
54,Kwaidan,1964,https://boxd.it/1kbY,
55,The Cremator,1969,https://boxd.it/1H8y,
