Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-03-24,Se7en,1995,https://boxd.it/FInIn,5,,Eu morguei mt no início mas o filme me capturou mt do meio pra frente e a sensação de tensão do final faz valer a pena as 2 horas de filme.,nice plot,2019-03-23
2019-03-24,The Green Mile,1999,https://boxd.it/FJboH,5,,"Tem nem o que dizer, só assiste mano, é emocionante, viajado, mas emocionante",,2019-03-24
2019-04-07,The Silence of the Lambs,1991,https://boxd.it/GnyB5,5,,Tensão do final parecia que tava em 440V. FILMAO DO CARALHO,,
2019-04-07,Bumblebee,2018,https://boxd.it/GnLD9,4,,"Better than the a normal transformes film, but not so gooood",,
2021-11-03,Identity,2003,https://boxd.it/2g0MGz,3.5,,"Eu realmente fiquei dividido sobre o final, refletindo se gostei ou não, é um bom filme no geral",,2021-11-02
2021-12-02,BoJack Horseman Christmas Special,2014,https://boxd.it/2krlgp,5,,"Ver esse especial me fez relembrar o quanto essa série teve um papel significativo na minha vida e quão bem ela é escrita
É muito triste a quantidade de pessoas que nunca viram essa série",,2021-12-01
2022-01-06,Taxi Driver Bruce Cover,,,5,,ISSO É CINEMA,,2022-01-05
2022-11-05,All Quiet on the Western Front,1930,https://boxd.it/3oGE8X,,,"Uma montanha na França não ofende um campo na Alemanha, pessoas ofendem pessoas e iniciam guerras. Essas mesmas pessoas não estão no campo de batalha nunca.",,2022-11-04
2023-05-07,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/4dro61,4,,Lindo !,,2023-05-06
2023-07-21,Barbie,2023,https://boxd.it/4yad0L,,,Literalmente eu,,2023-07-20
