Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-10-24,Taxi Driver,1976,https://boxd.it/1q5m4r,4,,,2020-10-21
2020-10-24,Return to Oz,1985,https://boxd.it/1q9vzr,3.5,,,2020-10-24
2020-10-25,Casablanca,1942,https://boxd.it/1qfcHt,3.5,,,2020-10-24
2020-10-25,Hubie Halloween,2020,https://boxd.it/1qhLA7,2.5,,,2020-10-25
2020-10-27,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1qxEbV,5,,,2020-10-26
2020-10-27,Borat Subsequent Moviefilm,2020,https://boxd.it/1qxEin,4.5,,,2020-10-26
2020-10-28,Truth or Dare,2018,https://boxd.it/1qDHAB,2.5,,,2020-10-27
2020-10-28,The Purge,2013,https://boxd.it/1qFEmZ,3,,,2020-10-28
2020-10-29,American Psycho,2000,https://boxd.it/1qIRtF,4,,,2020-10-28
2020-11-03,It Follows,2014,https://boxd.it/1rmukZ,2,,,2020-11-02
2020-11-05,Holidate,2020,https://boxd.it/1rxmaz,2.5,,,2020-11-04
2020-11-05,Tenet,2020,https://boxd.it/1rzFrD,3.5,,,2020-11-04
2020-11-07,Frankenstein,1931,https://boxd.it/1rI2t9,3,,,2020-11-06
2020-11-08,Rear Window,1954,https://boxd.it/1rP2n5,4,,,2020-11-07
2020-11-09,Gretel & Hansel,2020,https://boxd.it/1rUEyb,2,,,2020-11-08
2020-11-10,Happy Death Day 2U,2019,https://boxd.it/1s4ywN,3,,,2020-11-10
2020-11-11,mother!,2017,https://boxd.it/1sa78h,4.5,,,2020-11-10
2020-11-13,Searching,2018,https://boxd.it/1smaYp,4.5,,,2020-11-13
2020-11-16,The Thing,1982,https://boxd.it/1sDDIT,3.5,,,2020-11-15
2020-11-20,Alien,1979,https://boxd.it/1t09Vf,3,Yes,,2020-11-19
2020-11-21,The Invitation,2015,https://boxd.it/1t9dj3,4,,,2020-11-21
2020-11-24,Aliens,1986,https://boxd.it/1trBTv,4,,,2020-11-23
2020-11-25,Alien³,1992,https://boxd.it/1tAry1,4,,,2020-11-24
2020-11-27,The Trial of the Chicago 7,2020,https://boxd.it/1tLwJv,4,,,2020-11-26
2020-11-27,If Anything Happens I Love You,2020,https://boxd.it/1tLwXn,,,,2020-11-26
2020-11-27,The SpongeBob Movie: Sponge on the Run,2020,https://boxd.it/1tNheh,,,,2020-11-26
2020-11-28,Prometheus,2012,https://boxd.it/1tTY3N,3.5,,,2020-11-27
2020-11-30,12 Angry Men,1957,https://boxd.it/1uaSkn,4.5,,,2020-11-29
2020-12-02,Geri's Game,1997,https://boxd.it/1ule5z,,,,2020-12-01
2020-12-02,The Visit,2015,https://boxd.it/1unOiN,3.5,,,2020-12-01
2020-12-04,Avengers: Endgame,2019,https://boxd.it/1uwWPX,,Yes,,2020-12-03
2020-12-04,Just Another Christmas,2020,https://boxd.it/1uzSDT,3,,,2020-12-03
2020-12-05,Bombshell,2019,https://boxd.it/1uFFdF,4,,,2020-12-04
2020-12-05,Monty Python and the Holy Grail,1975,https://boxd.it/1uG1h5,3.5,,,2020-12-04
2020-12-06,Bicycle Thieves,1948,https://boxd.it/1uLcCD,4.5,,,2020-12-05
2020-12-06,A Trip to the Moon,1902,https://boxd.it/1uNEPz,,,,2020-12-05
2020-12-06,The Shack,2017,https://boxd.it/1uPGmt,5,,,2020-12-05
2020-12-07,Terra,2015,https://boxd.it/1uU88H,,,,2020-12-06
