Date,Name,Year,Letterboxd URI
2019-03-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2019-03-11,BlacKkKlansman,2018,https://boxd.it/hxL8
2019-03-24,The Green Mile,1999,https://boxd.it/2agG
2019-04-07,The Silence of the Lambs,1991,https://boxd.it/2aHW
2019-04-07,Shutter Island,2010,https://boxd.it/1U82
2019-04-07,Bumblebee,2018,https://boxd.it/f21O
2020-10-20,City of God,2002,https://boxd.it/2a2a
2020-10-20,The Social Dilemma,2020,https://boxd.it/opQI
2020-10-20,Get Out,2017,https://boxd.it/eOCm
2020-10-20,12 Years a Slave,2013,https://boxd.it/2D2e
2020-10-20,Black Panther,2018,https://boxd.it/8MHs
2020-10-20,American Beauty,1999,https://boxd.it/71Y
2020-10-20,Life Is Beautiful,1997,https://boxd.it/29Wm
2020-10-20,Booksmart,2019,https://boxd.it/igNS
2020-10-20,Easy A,2010,https://boxd.it/17DK
2020-10-20,Interstellar,2014,https://boxd.it/4VZ8
2020-10-20,Ford v Ferrari,2019,https://boxd.it/ce74
2020-10-20,Inglourious Basterds,2009,https://boxd.it/1JzG
2020-10-20,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO
2020-10-20,The Babysitter,2017,https://boxd.it/eP1w
2020-10-20,Catch Me If You Can,2002,https://boxd.it/29VS
2020-10-20,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW
2020-10-20,Gone Girl,2014,https://boxd.it/6hQu
2020-10-20,[REC],2007,https://boxd.it/20ma
2020-10-20,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2
2020-10-20,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
2020-10-20,Return of the Jedi,1983,https://boxd.it/27Vm
2020-10-20,Star Trek,2009,https://boxd.it/1Q6c
2020-10-20,Joker,2019,https://boxd.it/h4cS
2020-10-20,Avengers: Endgame,2019,https://boxd.it/9vE4
2020-10-20,Captain America: The Winter Soldier,2014,https://boxd.it/3r58
2020-10-20,Django Unchained,2012,https://boxd.it/2cCk
2020-10-20,Logan,2017,https://boxd.it/7Piy
2020-10-20,Up,2009,https://boxd.it/1OEc
2020-10-20,The Witch,2015,https://boxd.it/9X0m
2020-10-20,Schindler's List,1993,https://boxd.it/2aq2
2020-10-20,The Invisible Man,2020,https://boxd.it/kWlA
2020-10-20,X-Men: Days of Future Past,2014,https://boxd.it/4aRw
2020-10-20,American History X,1998,https://boxd.it/2bdo
2020-10-20,X-Men: First Class,2011,https://boxd.it/FOA
2020-10-20,Atomic Blonde,2017,https://boxd.it/blDk
2020-10-20,Tropic Thunder,2008,https://boxd.it/20WM
2020-10-20,Happy Death Day,2017,https://boxd.it/fDz4
2020-10-20,Klaus,2019,https://boxd.it/ipoi
2020-10-20,Rush,2013,https://boxd.it/3lyS
2020-10-20,Monster House,2006,https://boxd.it/1Z2e
2020-10-20,Coco,2017,https://boxd.it/bYJQ
2020-10-20,Bridge to Terabithia,2007,https://boxd.it/28YG
2020-10-20,Surf's Up,2007,https://boxd.it/1YKY
2020-10-20,Grudge Match,2013,https://boxd.it/9w
2020-10-20,Watchmen,2009,https://boxd.it/1QE4
2020-10-21,Dirty Grandpa,2016,https://boxd.it/99pG
2020-10-27,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2020-11-08,Psycho,1960,https://boxd.it/2ab2
2020-11-11,mother!,2017,https://boxd.it/dgRU
2020-12-21,Happiest Season,2020,https://boxd.it/iS3I
2020-12-23,Alita: Battle Angel,2019,https://boxd.it/e0rS
2020-12-23,The Martian,2015,https://boxd.it/8SeG
2020-12-23,Arrival,2016,https://boxd.it/aNGk
2020-12-23,Black Swan,2010,https://boxd.it/Sw0
2020-12-23,The Artist,2011,https://boxd.it/2AwK
2020-12-23,It's a Wonderful Life,1946,https://boxd.it/28xA
2021-01-03,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG
2021-01-09,Oldboy,2003,https://boxd.it/29R2
2021-01-12,Nocturnal Animals,2016,https://boxd.it/bkFu
2021-01-13,Instant Family,2018,https://boxd.it/hHpQ
2021-01-18,Soul,2020,https://boxd.it/ioLA
2021-01-21,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2021-01-26,Kong: Skull Island,2017,https://boxd.it/9ewM
2021-01-27,World War Z,2013,https://boxd.it/2p2E
2021-02-01,Central Station,1998,https://boxd.it/29RG
2021-03-01,A Dog's Will,2000,https://boxd.it/12u4
2021-03-06,The Disaster Artist,2017,https://boxd.it/cTqc
2021-03-10,Incendies,2010,https://boxd.it/Msm
2021-03-19,Zack Snyder's Justice League,2021,https://boxd.it/tLOk
2021-03-22,O Violeiro Fantasma,2017,https://boxd.it/gILc
2021-03-27,The Nice Guys,2016,https://boxd.it/94Hg
2021-03-29,Umbrella,2020,https://boxd.it/s1oI
