Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-06-27,Cineclube dos Cornos -  1ª edição (2020 - 2023),,https://boxd.it/cx1p2,"Filmes da semana indicados pelo Clube dos Cornos (em ordem de cronológica de indicação)


Cineclube dos Cornos - Oscorno
Categorias :


🐂🥇 El Corno de Ouro: First Reformed
🎵 🎤 Melhor Música do Filme: I Get Overwhelmed (A Ghost Story)
💁‍♂️🥇Melhor Protagonista Masculino: Ethan Hawke (First Reformed)
💁‍♀️🥇Melhor Protagonista Feminina: Lubna (Incendies)
💁‍♂️🥈Melhor Coadjuvante Masculino: Willem Dafoe (The Boondock Saints)
💁‍♀️🥈Melhor Coadjuvante Feminino: Amanda Seyfreid (First Reformed)
🐂🤢 Bezerro Podre: The City of The Lost Children
💩 💩 Pior semana: Terceira
😁😁 Melhor semana : Sexta
🌇🏞 Melhor Poster: Sleepy Hollow
📸🎞 Melhor Fotografia: A Girl Walks Home Alone ar Night"

Position,Name,Year,URL,Description
1,Upgrade,2018,https://boxd.it/i4gW,
2,The Florida Project,2017,https://boxd.it/dMG0,
3,Little Miss Sunshine,2006,https://boxd.it/29EW,
4,First Reformed,2017,https://boxd.it/go9C,
5,Shiny_Flakes: The Teenage Drug Lord,2021,https://boxd.it/w5ZG,
6,Dawn of the Dead,1978,https://boxd.it/29gU,
7,Into the Wild,2007,https://boxd.it/22m2,
8,Man on Wire,2008,https://boxd.it/1ORK,
9,Good Manners,2017,https://boxd.it/aakY,
10,The Day the Earth Stood Still,2008,https://boxd.it/1WQ6,
11,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,
12,Vivarium,2019,https://boxd.it/gmVE,
13,As Good as It Gets,1997,https://boxd.it/268y,
14,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
15,The City of Lost Children,1995,https://boxd.it/29k8,
16,Pig,2021,https://boxd.it/nzoW,
17,They Don't Wear Black Tie,1981,https://boxd.it/66nQ,
18,Paycheck,2003,https://boxd.it/1YdA,
19,A Ghost Story,2017,https://boxd.it/fb0K,
20,The Imaginarium of Doctor Parnassus,2009,https://boxd.it/20DA,
21,Tombstone,1993,https://boxd.it/1SE6,
22,Mr. Nobody,2009,https://boxd.it/1k44,
23,The Lives of Others,2006,https://boxd.it/2a4A,
24,Swiss Army Man,2016,https://boxd.it/bDG2,
25,Paul,2011,https://boxd.it/13uE,
26,The Descent,2005,https://boxd.it/1YNy,
27,Saint Maud,2019,https://boxd.it/l8QA,
28,Sleepy Hollow,1999,https://boxd.it/26u0,
29,Creep,2014,https://boxd.it/7l4c,
30,Daybreakers,2009,https://boxd.it/1EnA,
31,The Boondock Saints,1999,https://boxd.it/20gw,
32,Incendies,2010,https://boxd.it/Msm,
33,The Hater,2020,https://boxd.it/lKs2,
34,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
35,Outlander,2008,https://boxd.it/1W2q,
