Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-08-20,Cineclube dos Cornos 2023 - 2ª edição (2023),,https://boxd.it/oGK1U,"Novas Categorias :

Melhor título em inglês
Melhor título em português 
Pior título em português 
 A adicionar novas…"

Position,Name,Year,URL,Description
1,Oxygen,2021,https://boxd.it/gU16,
2,Predestination,2014,https://boxd.it/6bJM,
3,The Hidden,1987,https://boxd.it/1RUW,
4,In Bruges,2008,https://boxd.it/20n8,
5,Shaolin Soccer,2001,https://boxd.it/1T86,
6,Drag Me to Hell,2009,https://boxd.it/1Jzw,
7,Speak No Evil,2022,https://boxd.it/vqlg,
8,The Witches,1990,https://boxd.it/1WVg,
9,Phantom of the Paradise,1974,https://boxd.it/1s34,
10,[REC],2007,https://boxd.it/20ma,
11,Truth and Justice,2019,https://boxd.it/ltly,
12,The Harder They Fall,2021,https://boxd.it/mRCU,
13,Maudie,2016,https://boxd.it/ceaW,
14,Before the Devil Knows You're Dead,2007,https://boxd.it/20Jy,
15,Priest,2011,https://boxd.it/16fM,
