Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-05-15,"Lais Souza Amorim, eu te amo",,https://boxd.it/mNfaC,Filmes que minha neném pode gostar. Te amo <3

Position,Name,Year,URL,Description
1,Marley & Me,2008,https://boxd.it/1Ola,
2,Lady Bird,2017,https://boxd.it/dGNE,
3,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,
4,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a,
5,Carol,2015,https://boxd.it/7DPK,
6,The Children's Hour,1961,https://boxd.it/1DZI,
7,Bullet Train,2022,https://boxd.it/qW26,
8,Cat People,1942,https://boxd.it/1vG4,
9,My Neighbor Totoro,1988,https://boxd.it/20eA,
10,Your Name.,2016,https://boxd.it/cUqs,
11,Life Is Beautiful,1997,https://boxd.it/29Wm,
12,La La Land,2016,https://boxd.it/a5fa,
13,CODA,2021,https://boxd.it/tbf4,
14,Before Sunrise,1995,https://boxd.it/2bcU,
15,Hidden Figures,2016,https://boxd.it/dgS4,
16,City of God,2002,https://boxd.it/2a2a,
17,BlacKkKlansman,2018,https://boxd.it/hxL8,
18,(500) Days of Summer,2009,https://boxd.it/1EmM,
19,5 Centimeters per Second,2007,https://boxd.it/16G4,
20,Instant Family,2018,https://boxd.it/hHpQ,
21,Perfect Blue,1997,https://boxd.it/1W7A,
22,Cuba and the Cameraman,2017,https://boxd.it/h17K,
23,Destino,2003,https://boxd.it/1cMM,
24,Napo,2020,https://boxd.it/s7ro,
25,Até a China,2015,https://boxd.it/cwuA,
26,Umbrella,2020,https://boxd.it/s1oI,
27,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,
28,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,
29,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,
30,Nocturnal Animals,2016,https://boxd.it/bkFu,
31,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
32,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
33,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
34,Rushmore,1998,https://boxd.it/1TAO,
35,Incendies,2010,https://boxd.it/Msm,
36,Saint Maud,2019,https://boxd.it/l8QA,
37,Bound,1996,https://boxd.it/1Z1g,
38,Good Bye Lenin!,2003,https://boxd.it/2ayA,
39,Private Desert,2021,https://boxd.it/wkT4,
40,Return to Oz,1985,https://boxd.it/1QHM,
41,Kedi,2016,https://boxd.it/dHxM,
