Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-04,Mamá List,,https://boxd.it/gQJlM,Lista de filmes para Maísa

Position,Name,Year,URL,Description
1,Planet of the Apes,1968,https://boxd.it/29p8,
2,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,
3,Shutter Island,2010,https://boxd.it/1U82,
4,Oldboy,2003,https://boxd.it/29R2,
5,Gattaca,1997,https://boxd.it/29Du,
6,Her,2013,https://boxd.it/4O24,
7,Vanilla Sky,2001,https://boxd.it/27TK,
8,District 9,2009,https://boxd.it/1Iik,
9,The Vast of Night,2019,https://boxd.it/kJyc,
10,Ex Machina,2015,https://boxd.it/7T2k,
11,Alita: Battle Angel,2019,https://boxd.it/e0rS,
12,Jurassic Park,1993,https://boxd.it/2aA2,
13,Ready Player One,2018,https://boxd.it/aZes,
14,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
15,Arrival,2016,https://boxd.it/aNGk,
16,The Martian,2015,https://boxd.it/8SeG,
17,About Time,2013,https://boxd.it/43bI,
18,(500) Days of Summer,2009,https://boxd.it/1EmM,
19,Call Me by Your Name,2017,https://boxd.it/dYmm,
20,Before Sunrise,1995,https://boxd.it/2bcU,
21,Roman Holiday,1953,https://boxd.it/29zW,
22,Big Fish,2003,https://boxd.it/2a3M,
23,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
24,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
25,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,
26,Atomic Blonde,2017,https://boxd.it/blDk,
