Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-18,My favorites David Fincher's movies,,https://boxd.it/cL0e6,Em ordem de preferência

Position,Name,Year,URL,Description
1,Gone Girl,2014,https://boxd.it/6hQu,
2,Fight Club,1999,https://boxd.it/2a9q,
3,Se7en,1995,https://boxd.it/29zs,
4,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,
5,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,
6,Panic Room,2002,https://boxd.it/2490,
7,The Social Network,2010,https://boxd.it/17ue,
8,Mank,2020,https://boxd.it/mIuC,
9,Alien³,1992,https://boxd.it/20zS,
10,The Game,1997,https://boxd.it/26vC,
11,Zodiac,2007,https://boxd.it/27MO,
