Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-24,My favorites Hitchcock’s movies   ,,https://boxd.it/cPc54,Em ordem de preferência

Position,Name,Year,URL,Description
1,Psycho,1960,https://boxd.it/2ab2,
2,Rebecca,1940,https://boxd.it/2aQa,
3,Rear Window,1954,https://boxd.it/2a6Q,
4,Dial M for Murder,1954,https://boxd.it/2adW,
5,To Catch a Thief,1955,https://boxd.it/2avm,
6,Strangers on a Train,1951,https://boxd.it/29tk,
7,Rope,1948,https://boxd.it/28yo,
8,Vertigo,1958,https://boxd.it/2apI,
9,North by Northwest,1959,https://boxd.it/2aRM,
10,Shadow of a Doubt,1943,https://boxd.it/1BtA,
11,The Man Who Knew Too Much,1956,https://boxd.it/2a5S,
12,Notorious,1946,https://boxd.it/2aDK,
13,The Birds,1963,https://boxd.it/2a6m,
14,Frenzy,1972,https://boxd.it/2a62,
