Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-15,My favorites Paul Thomas Anderson movies ( Em construção ),,https://boxd.it/eYPB0,Em ordem de preferência

Position,Name,Year,URL,Description
1,There Will Be Blood,2007,https://boxd.it/20Z2,
2,Boogie Nights,1997,https://boxd.it/23um,
3,Punch-Drunk Love,2002,https://boxd.it/20E4,
4,Magnolia,1999,https://boxd.it/2aze,
5,Licorice Pizza,2021,https://boxd.it/qTKY,
6,The Master,2012,https://boxd.it/2cBG,
7,Inherent Vice,2014,https://boxd.it/5hla,
8,Hard Eight,1996,https://boxd.it/20DU,
