Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-27,OS FILMES QUE MAIS ME MARCARAM,,https://boxd.it/raw3g,

Position,Name,Year,URL,Description
1,How Green Was My Valley,1941,https://boxd.it/UV2,
2,Miracle on 34th Street,1947,https://boxd.it/1SRu,
3,It's a Wonderful Life,1946,https://boxd.it/28xA,
4,Roman Holiday,1953,https://boxd.it/29zW,
5,12 Angry Men,1957,https://boxd.it/2auI,
6,Psycho,1960,https://boxd.it/2ab2,
7,Persona,1966,https://boxd.it/29B4,
8,Rosemary's Baby,1968,https://boxd.it/29zM,
9,Beneath the Planet of the Apes,1970,https://boxd.it/28j4,
10,The Godfather,1972,https://boxd.it/2aNK,
11,Rocky,1976,https://boxd.it/28Uk,
12,The Empire Strikes Back,1980,https://boxd.it/27Vw,
13,True Lies,1994,https://boxd.it/19pq,
14,City of God,2002,https://boxd.it/2a2a,
15,Incendies,2010,https://boxd.it/Msm,
16,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
17,There Will Be Blood,2007,https://boxd.it/20Z2,
18,About Time,2013,https://boxd.it/43bI,
19,The Nice Guys,2016,https://boxd.it/94Hg,
20,La La Land,2016,https://boxd.it/a5fa,
21,Nocturnal Animals,2016,https://boxd.it/bkFu,
22,The Disaster Artist,2017,https://boxd.it/cTqc,
23,Logan,2017,https://boxd.it/7Piy,
24,Coco,2017,https://boxd.it/bYJQ,
25,Cuba and the Cameraman,2017,https://boxd.it/h17K,
26,Klaus,2019,https://boxd.it/ipoi,
27,The Father,2020,https://boxd.it/m8Ie,
