Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-09-11,POSSIVEIS INDICADOS PRO CLUBE DOS CORNOS,,https://boxd.it/p5Wfa,

Position,Name,Year,URL,Description
1,Clue,1985,https://boxd.it/1MDQ,
2,A Single Man,2009,https://boxd.it/1dx4,
3,Monster,2023,https://boxd.it/DJEM,
4,Frenzy,1972,https://boxd.it/2a62,
5,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO,
6,Inside Man,2006,https://boxd.it/2auS,
7,The Invisible Guest,2016,https://boxd.it/euce,
8,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,
9,Holy Spider,2022,https://boxd.it/xBn2,
10,"One, Two, Three",1961,https://boxd.it/2ap4,
