Date,Name,Year,Letterboxd URI,Rating
2019-04-07,Bumblebee,2018,https://boxd.it/f21O,4
2020-10-20,12 Years a Slave,2013,https://boxd.it/2D2e,5
2020-10-20,What Ever Happened to Baby Jane?,1962,https://boxd.it/1WJE,4
2020-10-20,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2020-10-20,The Imitation Game,2014,https://boxd.it/6aig,3
2020-10-20,Slumdog Millionaire,2008,https://boxd.it/1S3E,3
2020-10-20,The Devil All the Time,2020,https://boxd.it/i2tY,3
2020-10-20,50 First Dates,2004,https://boxd.it/285c,3
2020-10-20,Hotel Transylvania,2012,https://boxd.it/2DF6,3
2020-10-20,Just Go with It,2011,https://boxd.it/Doq,3
2020-10-20,Murder Mystery,2019,https://boxd.it/iEBm,3
2020-10-20,Good Will Hunting,1997,https://boxd.it/2ahY,3
2020-10-20,Thor: Ragnarok,2017,https://boxd.it/8MHi,3
2020-10-20,Deadpool 2,2018,https://boxd.it/dlLM,4
2020-10-20,Saving Private Ryan,1998,https://boxd.it/29ro,4
2020-10-20,The Departed,2006,https://boxd.it/28MA,4
2020-10-20,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,3
2020-10-20,World War Z,2013,https://boxd.it/2p2E,4
2020-10-20,The Second Mother,2015,https://boxd.it/9Ydm,4
2020-10-20,Elite Squad,2007,https://boxd.it/20YI,3
2020-10-20,Aquarius,2016,https://boxd.it/d6YQ,3
2020-10-20,Bacurau,2019,https://boxd.it/fSUG,4
2020-10-20,Till Luck Do Us Part,2012,https://boxd.it/4Rd0,2
2020-10-20,If I Were You,2006,https://boxd.it/1dDw,1
2020-10-20,Till Luck Do Us Part 2,2013,https://boxd.it/6Jzm,1
2020-10-20,Till Luck Do Us: Part 3,2015,https://boxd.it/ayvQ,1
2020-10-20,The Honest Candidate 2,2018,https://boxd.it/jKsi,2
2020-10-20,The Babysitter: Killer Queen,2020,https://boxd.it/n4VA,2
2020-10-20,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2020-10-20,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,3
2020-10-20,A Fall from Grace,2020,https://boxd.it/oc5Y,3
2020-10-20,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,3
2020-10-20,Lucy,2014,https://boxd.it/75hu,3
2020-10-20,Lilies of the Field,1963,https://boxd.it/159o,4
2020-10-23,Vice,2018,https://boxd.it/fcFY,3
2020-10-24,Taxi Driver,1976,https://boxd.it/2b8y,4
2020-10-24,Return to Oz,1985,https://boxd.it/1QHM,3.5
2020-10-25,Hubie Halloween,2020,https://boxd.it/mQwm,2.5
2020-10-29,American Psycho,2000,https://boxd.it/28Vs,4
2020-11-05,Holidate,2020,https://boxd.it/mLcc,2.5
2020-11-09,Gretel & Hansel,2020,https://boxd.it/jLOk,2
2020-11-10,Happy Death Day 2U,2019,https://boxd.it/ixt6,3
2020-11-16,The Thing,1982,https://boxd.it/294O,3.5
2020-11-24,Aliens,1986,https://boxd.it/29PA,4
2020-11-27,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,4
2020-12-02,The Visit,2015,https://boxd.it/9ssO,3.5
2020-12-04,Just Another Christmas,2020,https://boxd.it/slKa,3
2020-12-05,Bombshell,2019,https://boxd.it/j5YC,4
2020-12-05,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,3.5
2020-12-07,The Invitation,2015,https://boxd.it/9OUU,4
2020-12-23,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2021-04-25,The Father,2020,https://boxd.it/m8Ie,5
2021-06-10,Year One,2009,https://boxd.it/1Ink,0.5
2021-06-12,Bo Burnham: Inside,2021,https://boxd.it/v2uy,4
2021-06-12,The General,1926,https://boxd.it/29co,4.5
2021-06-12,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/f42u,3.5
2021-06-12,Bo Burnham: Make Happy,2016,https://boxd.it/e436,3
2021-06-12,Into the Wild,2007,https://boxd.it/22m2,4
2021-06-13,Funny Face,1957,https://boxd.it/1Qpy,3
2021-06-13,Pumping Iron,1977,https://boxd.it/23dA,3.5
2021-06-13,The Fountain,2006,https://boxd.it/28RU,3
2021-06-13,The Cannibal Club,2018,https://boxd.it/i0LG,3.5
2021-06-13,Fargo,1996,https://boxd.it/2aHM,3
2021-06-13,Feels Good Man,2020,https://boxd.it/oigS,3.5
2021-06-13,Army of the Dead,2021,https://boxd.it/ic7S,2.5
2021-06-13,Apocalypse Now,1979,https://boxd.it/6ZS,3
2021-06-13,The Handmaiden,2016,https://boxd.it/948A,3.5
2021-06-13,Stalker,1979,https://boxd.it/28PO,3
2021-06-13,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,4
2021-06-13,The Florida Project,2017,https://boxd.it/dMG0,4
2021-06-13,Godzilla vs. Kong,2021,https://boxd.it/e0qK,3
2021-06-13,The King,2019,https://boxd.it/ieZs,3.5
2021-06-13,Call Me by Your Name,2017,https://boxd.it/dYmm,3.5
2021-06-13,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,3.5
2021-06-13,A Dog's Will,2000,https://boxd.it/12u4,4
2021-06-13,Boys State,2020,https://boxd.it/oiNW,4
2021-06-13,I Care a Lot,2020,https://boxd.it/mcHk,2
2021-06-13,Monster,2003,https://boxd.it/2afy,3
2021-06-13,Charade,1963,https://boxd.it/23O2,4
2021-06-14,Triangle,2009,https://boxd.it/1tQG,3.5
2021-06-15,Life of Brian,1979,https://boxd.it/2a4q,4
2021-06-18,Meet the Parents,2000,https://boxd.it/28vE,3
2021-06-18,Kiss of the Spider Woman,1985,https://boxd.it/1Tci,4
2021-06-19,Persona,1966,https://boxd.it/29B4,3.5
2021-06-20,The Other Guys,2010,https://boxd.it/1rtq,2.5
2021-06-20,Rio 2096: A Story of Love and Fury,2013,https://boxd.it/5kIG,3.5
2021-06-20,Booksmart,2019,https://boxd.it/igNS,4
2021-06-21,Zero Dark Thirty,2012,https://boxd.it/3n1w,3.5
2021-06-22,Luca,2021,https://boxd.it/ipjC,3.5
2021-06-23,Jaws,1975,https://boxd.it/2a5e,3
2021-06-24,The Endless,2017,https://boxd.it/ffyw,3.5
2021-06-25,Meet the Fockers,2004,https://boxd.it/29NE,2.5
2021-06-25,Oldboy,2003,https://boxd.it/29R2,4.5
2021-06-25,Knives Out,2019,https://boxd.it/jWEA,4
2021-06-25,Fight Club,1999,https://boxd.it/2a9q,4
2021-06-25,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2021-06-25,The Social Dilemma,2020,https://boxd.it/opQI,3.5
2021-06-25,American Beauty,1999,https://boxd.it/71Y,4
2021-06-25,Life Is Beautiful,1997,https://boxd.it/29Wm,4
2021-06-25,Black Panther,2018,https://boxd.it/8MHs,3.5
2021-06-25,Central Station,1998,https://boxd.it/29RG,4
2021-06-25,The Green Mile,1999,https://boxd.it/2agG,4
2021-06-25,Se7en,1995,https://boxd.it/29zs,4
2021-06-25,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3.5
2021-06-25,The Shack,2017,https://boxd.it/bAKK,3.5
2021-06-25,Catch Me If You Can,2002,https://boxd.it/29VS,4.5
2021-06-25,Rosemary's Baby,1968,https://boxd.it/29zM,5
2021-06-25,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,4
