Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-09-17,Stranded,2021,https://boxd.it/28VXx1,0.5,,Então esse é o Cinema Novo que tanto falam ?,,2021-09-16
2021-10-06,Killer Klowns from Outer Space,1988,https://boxd.it/2bwFnp,3.5,,Melhor que Fome de Poder no quesito filmes sobre palhaço,,2021-10-05
2021-10-11,Venom: Let There Be Carnage,2021,https://boxd.it/2cgBSZ,2.5,,Muito bom ver filme ruim em um dia de ressaca,,2021-10-10
2021-11-27,House of Gucci,2021,https://boxd.it/2jCM0r,3.5,,Jared Leto as Borat,,2021-11-26
2021-11-29,Private Desert,2021,https://boxd.it/2k0ekZ,4,,Um filme com Barões da Pisadinha e Bonnie Taylor na trilha sonora tem como ser ruim ?,,2021-11-28
2021-12-02,BoJack Horseman Christmas Special,2014,https://boxd.it/2krlwH,5,,ITS XMAS TIME BITCHES,,2021-12-01
2022-01-02,In a Lonely Place,1950,https://boxd.it/2qqwTf,4.5,,“I was born when she kissed me. I died when she left me. I lived a few weeks while she loved me.”,,2022-01-01
2022-01-14,Scream 3,2000,https://boxd.it/2tEK6V,3.5,,"Everybody hates you but i love you Scream 3, i love you !",,2022-01-13
2022-01-23,"Kiss Me, Stupid",1964,https://boxd.it/2vEjI7,3.5,,"“Say the word, sweet Sophia,
Let our heart's intertwine.
Oh, Sophia, be mine!
Oh, Sophia, be mine!”

Tem algo nas comédias românticas do Billy Wilder que são muito confortáveis de assistir.",,2022-01-22
2022-02-04,Convict 13,1920,https://boxd.it/2y2usv,,,"Muito bom assistir uns curtas do Buster Keaton com meus pais 

Notas dos meus pais :

Mãe: Legalzinho, bom (Normalmente ela dorme em 10 minutos de qualquer coisa então eu ficaria bastante satisfeito com o Legalzinho dela)

Pai: Nota 10, me enterte e relaxa a cabeça, amanhã a gente vê um de 30 minutos",,2022-02-03
2022-02-06,Napo,2020,https://boxd.it/2yiSQN,,,"Eu sinto tanta saudade do senhor, vovô",,2022-02-05
2022-09-09,Lolita,1962,https://boxd.it/3cXGxr,4,,Pertubador,,2022-09-08
2022-11-02,"Argentina, 1985",2022,https://boxd.it/3o8bBj,5,,Os tiranos merecem ficar no quinto inferno. Nunca más,,2022-11-01
2022-11-09,La La Land,2016,https://boxd.it/3pDjPf,4.5,,Tô com depressão,,2022-11-08
2022-11-09,All Quiet on the Western Front,1930,https://boxd.it/3pDpSJ,4,,“Um campo na Alemanha não ofende uma montanha na França”,,2022-11-04
2022-12-04,Cuba and the Cameraman,2017,https://boxd.it/3uKQWH,4.5,,CRISTOBAL !!!,,2022-12-03
2022-12-08,Aftersun,2022,https://boxd.it/3vyMrF,5,,“This is our last dance. This is our last dance. This is ourselves…”,,2022-12-07
2022-12-12,About Time,2013,https://boxd.it/3wuTAZ,5,Yes,Definitivamente meu confort movie,,2022-12-11
2022-12-25,Spirited,2022,https://boxd.it/3zGMrd,4,,Good Afternoon !,,2022-12-24
2023-01-03,A Single Man,2009,https://boxd.it/3DmWbZ,4,,“... e eu percebo que tudo é exatamente do jeito que era para ser.”,,2023-01-02
2023-01-05,The Harder They Fall,2021,https://boxd.it/3EcTtF,,,"Como todo bom faroeste, a trilha desse filme é boa demais",,2023-01-04
2023-01-10,To Have and Have Not,1944,https://boxd.it/3G8JfN,3.5,,“That is the mistake the Germans always make with people they try to destroy. There will be always someone else...”,,2023-01-09
2023-01-14,The Fabelmans,2022,https://boxd.it/3Hoamv,4.5,,Difícil colocar em palavras o que senti com esse filme.,,2023-01-13
2023-01-27,RoboCop,1987,https://boxd.it/3LzhTf,4,,"Muito bom um filme de ação e ficção  científica dos anos 80, apesar dos efeitos envelhecerem como leite azedo mas temática é foda demais. Verhoeven sabe o que faz !",,2023-01-26
2023-01-27,West Side Story,1961,https://boxd.it/3LFUMz,4,,"Its easier in América
…if you are white in América 🎶",,2023-01-26
2023-01-28,RRR,2022,https://boxd.it/3LR89X,5,,DECOLONIAL MASTERPIECE,,2023-01-27
2023-02-03,Along Came Polly,2004,https://boxd.it/3NJfBr,3,,Jeniffer Aniston Rom-Com Club,,2023-02-02
2023-02-08,"I, Tonya",2017,https://boxd.it/3Pn4WR,4,,"Como o filme é contado cativa demais e a personagem principal apesar de suas falhas e como as outras pessoas ao ser redor falharam com ela, faz você ficar obcecado em torcer por ela. Atuação espetacular da Margot Robbie.",,2023-02-07
2023-02-10,Puss in Boots: The Last Wish,2022,https://boxd.it/3PR2Xt,3.5,,Fofo. Engraçado. Me emocionei.,,2023-02-09
2023-03-02,The Whale,2022,https://boxd.it/3VskIv,4,,Obliterante. Arrebatador. Lindo.,,2023-03-01
2023-04-21,Mystic River,2003,https://boxd.it/49beJT,4,,"No filme pensamos que o menino virou o lobo quando na verdade, somos o lobo do menino",,2023-04-21
2023-06-18,Black Mirror: Loch Henry,2023,https://boxd.it/4o74SD,,,Não tem nada a ver com o propósito da série. Cadê a ficção científica?,,2023-06-17
2023-07-09,Avengers: Endgame,2019,https://boxd.it/4upYFP,,Yes,Bela epopeia,,2023-07-08
2023-07-30,Coco,2017,https://boxd.it/4BUVpJ,5,Yes,"Eu não tenho palavras pra descrever esse filme, sempre choro de soluçar",,2023-07-29
2023-08-02,2001: A Space Odyssey,1968,https://boxd.it/4D3EB1,,,Espetáculo visual e sonoro mas ainda assim preferi o livro,,2023-08-01
2023-08-05,True Lies,1994,https://boxd.it/4DT1KH,5,,TANGO !,,2023-08-04
2023-08-28,High Fidelity,2000,https://boxd.it/4LrjKL,2,,Ruim que dói,,2023-08-27
2023-09-16,El Conde,2023,https://boxd.it/4QNJc5,,,A facist walks home alone at night,,2023-09-15
2023-09-30,The Creator,2023,https://boxd.it/4UWhgH,,,Terrível,,2023-09-29
2023-10-29,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/54x9c3,,Yes,O melhor filme da franquia no meu coração,,2023-10-28
2023-11-16,Happy Together,1997,https://boxd.it/5avOrD,,,A fotografia. A trilha sonora. Buenos Aires. A tragédia amorosa. Obra-prima,,2023-11-15
2023-12-08,Os Saltimbancos Trapalhões,1981,https://boxd.it/5hQOoJ,,,Estou popotizadis,,2023-12-07
2023-12-16,Kung Fu Panda 3,2016,https://boxd.it/5kC56f,,,Eu veria uma trilogia da Tigresa com a neném panda,,2023-12-15
2023-12-25,A Christmas Story,1983,https://boxd.it/5o66cl,,,HO HO HO,,2023-12-24
2023-12-26,Miracle on 34th Street,1947,https://boxd.it/5oCLgx,,,Que filme fofo 🥺,,2023-12-25
