Date,Name,Year,Letterboxd URI
2023-01-28,Vertigo,1958,https://boxd.it/2apI
2023-02-04,Apocalypse Now,1979,https://boxd.it/6ZS
2023-02-04,The Deer Hunter,1978,https://boxd.it/1T6O
2023-04-10,The King of Kings,1927,https://boxd.it/FAy
2023-04-10,Mars One,2022,https://boxd.it/yoPa
2023-04-24,The Stepford Wives,1975,https://boxd.it/1Sfq
2023-05-09,Ruby Sparks,2012,https://boxd.it/3w9O
2023-05-24,Serpico,1973,https://boxd.it/1ZjE
2023-05-25,Ip Man,2008,https://boxd.it/1NrQ
2023-05-27,Once,2007,https://boxd.it/22GG
2023-05-27,Dead Man's Letters,1986,https://boxd.it/2wKy
2023-06-02,Holiday,1938,https://boxd.it/1Ks2
2023-06-11,Breaking the Waves,1996,https://boxd.it/2b1W
2023-06-15,Fort Apache,1948,https://boxd.it/18u0
2023-06-17,Insomnia,2002,https://boxd.it/2aB0
2023-07-02,Changeling,2008,https://boxd.it/25aS
2023-07-04,The Given Word,1962,https://boxd.it/h6Y
2023-07-09,Tomboy,2011,https://boxd.it/49U
2023-07-09,The Raid 2,2014,https://boxd.it/5uz0
2023-07-22,Ad Astra,2019,https://boxd.it/ePzI
2023-07-31,Misery,1990,https://boxd.it/28gY
2023-07-31,The Place Beyond the Pines,2012,https://boxd.it/3mDu
2023-07-31,Trainspotting,1996,https://boxd.it/29XY
2023-08-02,Barry Lyndon,1975,https://boxd.it/25A2
2023-08-02,Lawrence of Arabia,1962,https://boxd.it/2wRE
2023-08-02,Metropolis,1927,https://boxd.it/71a
2023-08-08,Barren Lives,1963,https://boxd.it/29uM
2023-08-08,Hereditary,2018,https://boxd.it/hNVe
2023-08-08,Sorcerer,1977,https://boxd.it/14J6
2023-08-09,Brief Encounter,1945,https://boxd.it/29sm
2023-08-09,The Road,2009,https://boxd.it/1CWI
2023-08-15,Affliction,1997,https://boxd.it/1iAM
2023-08-17,The Long Goodbye,1973,https://boxd.it/281O
2023-08-27,Ghost,1990,https://boxd.it/2aLE
2023-08-27,Freedom Writers,2007,https://boxd.it/28p2
2023-09-14,Talk to Me,2022,https://boxd.it/C6uQ
2023-09-14,Let the Right One In,2008,https://boxd.it/1Qr0
2023-09-24,Amour,2012,https://boxd.it/34Q6
2023-09-29,First Cow,2019,https://boxd.it/krga
2023-09-29,Pain and Glory,2019,https://boxd.it/iOBQ
2023-09-29,The Wild Bunch,1969,https://boxd.it/2a5y
2023-10-02,I Know What You Did Last Summer,1997,https://boxd.it/2588
2023-10-03,Friday the 13th,1980,https://boxd.it/24fs
2023-10-04,The Fly,1986,https://boxd.it/1YIe
2023-10-04,Child's Play,1988,https://boxd.it/1VTo
2023-10-05,Repulsion,1965,https://boxd.it/1TKu
2023-10-05,I Saw the Devil,2010,https://boxd.it/FaK
2023-10-05,Funny Games,1997,https://boxd.it/1WKM
2023-10-05,The Vanishing,1988,https://boxd.it/1ZTW
2023-10-05,The Omen,1976,https://boxd.it/29By
2023-10-05,Audition,1999,https://boxd.it/1UHm
2023-10-06,Martyrs,2008,https://boxd.it/1Yqu
2023-10-07,Eyes Without a Face,1960,https://boxd.it/1j9i
2023-10-16,House,1977,https://boxd.it/1vsm
2023-10-22,Sinister,2012,https://boxd.it/2TnW
2023-10-25,Watcher,2022,https://boxd.it/uocO
2023-10-30,When Evil Lurks,2023,https://boxd.it/rXBe
2023-11-11,Aunt Virginia,2023,https://boxd.it/z0yQ
2023-11-27,Blue Velvet,1986,https://boxd.it/29BI
2023-11-27,Mulholland Drive,2001,https://boxd.it/297o
2023-11-28,Joker: Folie à Deux,2024,https://boxd.it/xBoE
2023-11-28,Deadpool & Wolverine,2024,https://boxd.it/jq8s
2023-12-04,Stalag 17,1953,https://boxd.it/29Xa
2023-12-04,Wings of Desire,1987,https://boxd.it/2b26
2023-12-08,At Midnight I'll Take Your Soul,1964,https://boxd.it/1kje
2023-12-08,The Notebook,2004,https://boxd.it/1UNE
2023-12-08,Whiplash,2014,https://boxd.it/7bQA
2023-12-16,Lovesong,2016,https://boxd.it/cSSY
2023-12-19,White Christmas,1954,https://boxd.it/1Qky
2023-12-19,Gremlins,1984,https://boxd.it/29gg
2023-12-21,A Charlie Brown Christmas,1965,https://boxd.it/1QDq
2023-12-25,A Christmas Story Christmas,2022,https://boxd.it/z1Rk
2023-12-27,American History X,1998,https://boxd.it/2bdo
2023-12-27,Big Fish,2003,https://boxd.it/2a3M
2023-12-27,Klaus,2019,https://boxd.it/ipoi
2023-12-27,Your Name Engraved Herein,2020,https://boxd.it/qWwA
2023-12-28,The Stranger,1946,https://boxd.it/1DP4
2023-12-31,Toll,2023,https://boxd.it/yQpO
2023-12-31,Phoenix,2014,https://boxd.it/7u46
2023-12-31,The Greatest Show on Earth,1952,https://boxd.it/1smA
2024-01-02,Mickey 17,2025,https://boxd.it/q1Dk
2024-01-02,Civil War,2024,https://boxd.it/z1jW
2024-01-03,The Boy and the Heron,2023,https://boxd.it/ipeM
2024-01-03,The Color Purple,2023,https://boxd.it/ksja
2024-01-03,The Way of the Wind,,https://boxd.it/mqE0
2024-01-03,Nosferatu,2024,https://boxd.it/f5eG
2024-01-03,Nosferatu,1922,https://boxd.it/29TM
2024-01-03,Juror No. 2,,https://boxd.it/FRwU
2024-01-03,Megalopolis,2024,https://boxd.it/lPBS
2024-01-03,The Godfather: Part III,1990,https://boxd.it/2aN6
2024-01-03,Moon,2009,https://boxd.it/1IGQ
2024-02-23,Cléo from 5 to 7,1962,https://boxd.it/2agm
